,QuoteID,Componentid,CustomerNumber,ClientSegCd,ClientSeg=E,CCMScustomerNumber,crmsectorname,crmindustryname,RequestingApplicationID,ModelID,Version,Countrycode,ChannelID,Year,Month,EndOfQtr,Indirect(1/0),DomBuyerGrpID,DomBuyerGrpName,Quantity,UpgMES,ComListPrice,ComTMC,QuotePrice,ComDelgPriceL4,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,ComMTM,ComQuotePricePofL,ComDelgPriceL4PofL,ComCostPofL,ComLogListPrice,ComMTMDesc,ComMTMDescLocal,ComCategory,ComSubCategory,ComSpclBidCode1,ComSpclBidCode2,ComSpclBidCode3,ComSpclBidCode4,ComSpclBidCode5,ComSpclBidCode6,Level_1,Level_2,Level_3,Level_4,HWPlatformid,ufc,FeatureQuantity,quoteidnew,WinLoss,ComLowPofL,ComMedPofL,ComHighPofL,ComMedPrice,DealSize,LogDealSize,ComPctContrib,QuoteType,componentid_orig,com_cost_price,deal_size,ln_ds,com_contrib,discount,quant_intercept,value_score,ln_vs,pred_L,pred_M,pred_H,AdjComLowPofL,AdjComMedPofL,AdjComHighPofL,AdjComLowPrice,AdjComMedPrice,AdjComHighPrice,cf,norm_op,OptimalPrice,orig_OP,OptimalPriceWinProb,ci_low,ci_high,price_M,OptimalPricePofL,OptimalPriceGP,OptimalPriceExpectedGP,OptimalPriceIntervalLow,OptimalPriceIntervalHigh,DealBotLineSpreadOptimalPrice,QuotePricePofL,QuotePriceWinProb,QuotePriceGP,QuotePriceExpectedGP,COPComLowPrice,COPComMedPrice,COPComHighPrice,COPComLowPofL,COPComMedPofL,COPComHighPofL,COPOptimalPrice,COPOptimalPricePofL,COPOptimalPriceWinProb,COPOptimalPriceGP,COPOptimalPriceExpectedGP,COPOptimalPriceIntervalLow,COPOptimalPriceIntervalHigh,COPQuotePriceWinProb,COPQuotePriceGP,COPQuotePriceExpectedGP,PredictedQuotePricePofL,PredictedQuotePrice,ComQuotePrice,ComLowPrice,ComHighPrice
0,5131290-JP,0,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8335a,8335-GTXa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,8335GTX,BA600,PWR,POWERHW,0,,,,1,0.651878431946,1.12552184824,1.59835690433,29307.6377324,,,,B,11,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7475304656759739,1,26039.154884622138,4.415626884853866,0.4561954114939345,0.980367991015666,1.7615456508753935,0.6518784319461404,1.1255218482437526,1.5983569043284316,16974.36345539016,29307.637732445244,41619.8629927132,0.24772524102959595,0.9302419311347815,26039.154884622138,24222.713724988575,0.7512734469993598,0.8137426137282339,1.0436128386952108,25527.95396198277,1.0,19588.59896462214,14716.394266039764,21189.169955086727,27174.796346364772,23964.756489290874,0.909999999982,0.773012942159,87404.85126,67565.0812315,,,,,,,,,,,,,,,,,1.0,26039.154884622138,93855.40718,16974.36345539016,41619.8629927132
1,5131290-JP,1,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,21,0,1643.25777,55.87089,1643.25777,0.0,S,U5,0,0,0,5608a,5608-B17a,1.0,0.0,0.03400007656741523,3.215705694480564,IBM Spectrum Control Standard Edition 3 Yr Reg (5608-B17),IBM Spectrum Control Standard Edition 3 Yr Reg (5608-B17),S,O,,,,,,,5608B17,B7TP5,SPEC,SSGSW,1,,,,1,0.651878431946,1.13514440626,1.59835690433,285.915792117,,,,B,18,55.87089,99156.0374,11.504450023672542,0.0005634643281943012,0.8467214668094947,1,251.87614063950076,2.4011870302239218,0.46501449259991723,0.9887495678672272,1.6156924969949673,0.6518784319461404,1.135144406258313,1.5983569043284316,164.19262360472328,285.91579211686144,402.5879684267451,0.22181890614230726,0.9321961337426585,251.87614063950076,234.79796448616472,0.7578345271581823,0.8127828517042991,1.0472671320619165,249.04242521337133,1.0,196.00525063950076,148.53954643890708,204.72060786524654,263.7816034423539,233.18426119560866,1.0,0.679789167726,1587.38688,1079.08840601,,,,,,,,,,,,,,,,,1.0,251.87614063950076,1643.25777,164.19262360472328,402.5879684267451
2,5131290-JP,2,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,6661a,6661-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,0.651878431946,1.12559250458,1.59835690433,28328.037405,,,,B,1,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6518784319461404,1.1255925045770034,1.5983569043284316,16405.969770212174,28328.037404976552,40226.20441074622,0.25630781582600165,0.9326963368733485,25167.22285355143,23473.37656478264,0.7486292643801593,0.8167818342680938,1.0456409446689838,24674.688601974598,1.0,18716.66693355143,14011.844598113059,20556.130445757626,26315.878679282356,23163.294440984828,0.909999999982,0.773071613911,87404.85126,67570.2094272,,,,,,,,,,,,,,,,,1.0,25167.22285355143,93855.40718,16405.969770212174,40226.20441074622
3,5131290-JP,3,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,21,0,350.02656,11.9076,350.02656,252.01912,S,Z4,0,0,0,5641a,5641-KL3a,1.0,0.7199999908578365,0.034019132719528486,2.5441009998468354,IBM Security Key Lifecycle Manager w/3 Yr SW S&S (5641-KL3),IBM Security Key Lifecycle Manager w/3 Yr SW S&S (5641-KL3),S,O,,,,,,,,,,,1,,,,1,0.651878431946,1.13574822532,1.59835690433,213.826857329,,,,B,20,11.907600000000002,99156.0374,11.504450023672542,0.00012008951055561244,0.46212769095668754,1,188.26959405368754,2.274780186182506,0.4655678931928366,0.9892755149067783,1.6065401577810976,0.6518784319461404,1.1357482253236626,1.5983569043284316,122.72888775485423,213.826857328882,300.9220055308225,0.0632476001228557,0.8938944586409985,188.26959405368754,168.29314685518156,0.7971525102868838,0.7634964157342505,1.0166142104240485,186.25049959875187,1.0,176.36199405368754,140.5874062790975,143.7431602517328,191.3975447057457,174.36242785194833,1.0,0.680479122376,338.11896,230.08289316,,,,,,,,,,,,,,,,,1.0,188.26959405368754,350.02656,122.72888775485423,300.9220055308225
4,5131290-JP,4,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,5639a,5639-VE1a,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,5639VE1,B5Y30,PWRL,PWRSW,0,,,,1,0.651878431946,1.130218283,1.59835690433,3059.22500858,,,,B,7,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.9737559300502885,1,2706.755902462022,3.4324490924924524,0.46049969721013884,0.984458746173476,1.690359816504851,0.6518784319461404,1.1302182829989929,1.5983569043284316,1764.4757933579028,3059.2250085780156,4326.361985031907,2.38313174606276,2.38313174606276,6450.55592,6450.55592,3.679144555337892e-06,2.3593004286021326,2.4069630635233876,2664.6895219354174,2.38313174606276,0.0,0.0,6386.050360800001,6515.0614792,2498.328433898078,0.909999999982,0.776877042116,87404.85126,67902.8223135,,,,,,,,,,,,,,,,,2.38313174606276,6450.55592,93855.40718,1764.4757933579028,4326.361985031907
5,5131290-JP,5,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8335a,8335-GTGa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,8335GTG,BA600,PWR,POWERHW,0,,,,1,1.15168715257,1.24547649759,1.27617233748,41287.0938328,,,,B,6,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.6785888995726845,1,33149.63703669038,4.5204787775726025,0.9258753980046011,1.003158865203085,1.447765680325169,1.1516871525719155,1.2454764975894617,1.276172337480849,38178.01108757845,41287.09383281903,42304.64978375488,0.19458903615929352,1.1555948449360625,38307.54967110097,38307.54967110097,0.9463367360305164,1.1300961246623473,1.2001755908279887,33254.352271620475,1.1555948449360625,31856.99375110097,30147.44348616145,37462.27634912722,39785.38521624325,39940.21225783737,0.909999999982,0.994634012418,87404.85126,86935.8379135,,,,,,,,,,,,,,,,,1.1555948449360625,38307.54967110097,93855.40718,38178.01108757845,42304.64978375488
6,5131290-JP,6,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9008a,9008-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,0.651878431946,1.12559250458,1.59835690433,28328.037405,,,,B,9,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6518784319461404,1.1255925045770034,1.5983569043284316,16405.969770212174,28328.037404976552,40226.20441074622,0.25630781582600165,0.9326963368733485,25167.22285355143,23473.37656478264,0.7486292643801593,0.8167818342680938,1.0456409446689838,24674.688601974598,1.0,18716.66693355143,14011.844598113059,20556.130445757626,26315.878679282356,23163.294440984828,0.909999999982,0.773071613911,87404.85126,67570.2094272,,,,,,,,,,,,,,,,,1.0,25167.22285355143,93855.40718,16405.969770212174,40226.20441074622
7,5131290-JP,7,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8001a,8001-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,0.651878431946,1.12559250458,1.59835690433,28328.037405,,,,B,5,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6518784319461404,1.1255925045770034,1.5983569043284316,16405.969770212174,28328.037404976552,40226.20441074622,0.25630781582600165,0.9326963368733485,25167.22285355143,23473.37656478264,0.7486292643801593,0.8167818342680938,1.0456409446689838,24674.688601974598,1.0,18716.66693355143,14011.844598113059,20556.130445757626,26315.878679282356,23163.294440984828,0.909999999982,0.773071613911,87404.85126,67570.2094272,,,,,,,,,,,,,,,,,1.0,25167.22285355143,93855.40718,16405.969770212174,40226.20441074622
8,5131290-JP,8,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9223a,9223-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,0.651878431946,1.12559250458,1.59835690433,28328.037405,,,,B,13,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6518784319461404,1.1255925045770034,1.5983569043284316,16405.969770212174,28328.037404976552,40226.20441074622,0.25630781582600165,0.9326963368733485,25167.22285355143,23473.37656478264,0.7486292643801593,0.8167818342680938,1.0456409446689838,24674.688601974598,1.0,18716.66693355143,14011.844598113059,20556.130445757626,26315.878679282356,23163.294440984828,0.909999999982,0.773071613911,87404.85126,67570.2094272,,,,,,,,,,,,,,,,,1.0,25167.22285355143,93855.40718,16405.969770212174,40226.20441074622
9,5131290-JP,9,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9223a,9223-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,0.651878431946,1.12559250458,1.59835690433,28328.037405,,,,B,11,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6518784319461404,1.1255925045770034,1.5983569043284316,16405.969770212174,28328.037404976552,40226.20441074622,0.25630781582600165,0.9326963368733485,25167.22285355143,23473.37656478264,0.7486292643801593,0.8167818342680938,1.0456409446689838,24674.688601974598,1.0,18716.66693355143,14011.844598113059,20556.130445757626,26315.878679282356,23163.294440984828,0.909999999982,0.773071613911,87404.85126,67570.2094272,,,,,,,,,,,,,,,,,1.0,25167.22285355143,93855.40718,16405.969770212174,40226.20441074622
