,Componentid,Quantity,UpgMES,ComListPrice,ComTMC,ComQuotePrice,ComDelgPriceL4,WinLoss,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,ComMTM,ComQuotePricePofL,ComDelgPriceL4PofL,ComCostPofL,ComLogListPrice,Countrycode,ChannelID,Year,Month,EndOfQtr,Indirect(1/0),RequestingApplicationID,QuoteID,ModelID,Version,CustomerNumber,ClientSegCd,ClientSeg=E,GEO_CODE,ComLowPofL,ComMedPofL,ComHighPofL,ComMedPrice,DealSize,LogDealSize,ComPctContrib,TreeNode,ComTMCPofL,AdjComLowPofL,AdjComMedPofL,AdjComHighPofL,AdjComLowPrice,AdjComMedPrice,AdjComHighPrice,OptimalPricePofL,OptimalPrice,OptimalPriceWinProb,OptimalPriceGP,OptimalPriceExpectedGP,OptimalPriceIntervalLow,OptimalPriceIntervalHigh,DealBotLineSpreadOptimalPrice,QuotePricePofL,QuotePrice,QuotePriceWinProb,QuotePriceGP,QuotePriceExpectedGP,PredictedQuotePricePofL,PredictedQuotePrice,COPComLowPrice,COPComMedPrice,COPComHighPrice,COPComLowPofL,COPComMedPofL,COPComHighPofL,COPOptimalPrice,COPOptimalPricePofL,COPOptimalPriceWinProb,COPOptimalPriceGP,COPOptimalPriceExpectedGP,COPOptimalPriceIntervalLow,COPOptimalPriceIntervalHigh,COPQuotePriceWinProb,COPQuotePriceGP,COPQuotePriceExpectedGP
0,1,30,0,274383.25013,64240.7139,274051.97999,0.0,1,H,Power,HPC,HPC,CLOUD OPENSTACK PLATFORM FOR POWER REG 3Y,9080a,9080-MHEa,0.9987926736058305,0.0,0.23412768042350765,5.438357596108537,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.0584210526316,0.159308510638,0.352678571429,43711.5869222,167708.57888383992,5.2245552788649885,0.260640136677,5,0.234127680424,0.0607578947369,0.185535190775,0.366785714286,16670.948629,50907.7486583,100639.856387,0.305830023747,83914.635903,0.122229870659,19673.922003,2404.74094179,78548.9741136,90352.0180741,73752.2116921,0.998792673606,274051.97999,3.55240354727e-06,209811.26609,0.745334285915,0.190643838878,52309.4761286,,,,,,,,,,,,,,,,
1,12,30,0,7078.71279,176.96782,7074.17515,0.0,1,S,Power,OTHER POWER,POWERVM,POWERVM EP ED,5773a,5773-PVEa,0.9993589738509507,0.0,0.025000000035317157,3.8499542917258593,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.138572905895,0.304827586207,0.639876352396,2157.78693323,167708.57888383992,5.2245552788649885,0.0128662883413,118,0.0250000000353,0.144115822131,0.299289379382,0.665471406492,1020.15451336,2118.58355774,4710.68095651,0.236173214198,1671.802352,0.705228698015,1494.834532,1054.20021075,1369.3723413,2017.09134826,3309.26450634,0.999358973851,7074.17515,0.0108100415966,6897.20733,74.5590981378,0.351060850859,2485.05893505,,,,,,,,,,,,,,,,
2,19,30,0,15182.7499,379.52791,15173.03936,0.0,1,S,Power,OTHER POWER,O/S AIX,AIX ENT ED,5773a,5773-AEZa,0.9993604228440857,0.0,0.02499731026986093,4.181350438109954,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.140652818991,0.278333333333,0.638709677419,4225.86538883,167708.57888383992,5.2245552788649885,0.0251976697731,79,0.0249973102699,0.146278931751,0.270575842355,0.664258064516,2220.91643641,4108.08534346,10085.2640626,0.20776536161,3154.44952321,0.745728437176,2774.92161321,2069.33795791,2612.86121258,3793.7422831,6853.70471356,0.999360422844,15173.03936,0.0174025410507,14793.51145,257.444690293,0.298869837445,4537.66599458,,,,,,,,,,,,,,,,
3,10,30,0,15182.7499,379.52791,15173.03936,0.0,1,S,Power,OTHER POWER,O/S AIX,AIX ENT ED,5773a,5773-AEZa,0.9993604228440857,0.0,0.02499731026986093,4.181350438109954,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.140652818991,0.278333333333,0.638709677419,4225.86538883,167708.57888383992,5.2245552788649885,0.0251976697731,79,0.0249973102699,0.146278931751,0.270575842355,0.664258064516,2220.91643641,4108.08534346,10085.2640626,0.20776536161,3154.44952321,0.745728437176,2774.92161321,2069.33795791,2612.86121258,3793.7422831,6853.70471356,0.999360422844,15173.03936,0.0174025410507,14793.51145,257.444690293,0.298869837445,4537.66599458,,,,,,,,,,,,,,,,
4,13,30,0,274383.25013,64240.7139,274051.99133,0.0,1,H,Power,HPC,HPC,CLOUD OPENSTACK PLATFORM FOR POWER REG 3Y,9080a,9080-MHEa,0.9987927149348838,0.0,0.23412768042350765,5.438357596108537,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.0584210526316,0.159308510638,0.352678571429,43711.5869222,167708.57888383992,5.2245552788649885,0.260640136677,5,0.234127680424,0.0607578947369,0.185535190775,0.366785714286,16670.948629,50907.7486583,100639.856387,0.305830023747,83914.635903,0.122229870659,19673.922003,2404.74094179,78548.9741136,90352.0180741,73752.2116921,0.998792714935,274051.99133,3.55240165892e-06,209811.27743,0.745333930003,0.190643838878,52309.4761286,,,,,,,,,,,,,,,,
5,21,30,0,7078.71279,176.96782,7074.17515,0.0,1,S,Power,OTHER POWER,POWERVM,POWERVM EP ED,5773a,5773-PVEa,0.9993589738509507,0.0,0.025000000035317157,3.8499542917258593,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.138572905895,0.304827586207,0.639876352396,2157.78693323,167708.57888383992,5.2245552788649885,0.0128662883413,118,0.0250000000353,0.144115822131,0.299289379382,0.665471406492,1020.15451336,2118.58355774,4710.68095651,0.236173214198,1671.802352,0.705228698015,1494.834532,1054.20021075,1369.3723413,2017.09134826,3309.26450634,0.999358973851,7074.17515,0.0108100415966,6897.20733,74.5590981378,0.351060850859,2485.05893505,,,,,,,,,,,,,,,,
6,17,30,0,18114.24453,452.85611,18102.71893,0.0,1,S,Power,OTHER POWER,O/S AIX,AIX/LINUX,5765a,5765-CD3a,0.9993637272600073,0.0,0.02499999982058319,4.258020226126894,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.0717021276596,0.320610687023,0.640243902439,5807.62038367,167708.57888383992,5.2245552788649885,0.0346292385417,83,0.0249999998206,0.074570212766,0.342972941197,0.665853658537,1350.7830687,6212.69572401,12061.4359919,0.296493673818,5370.75890913,0.604370418214,4917.90279913,2972.23497145,4350.38156508,6449.81794917,8899.31684157,0.99936372726,18102.71893,0.0011318395227,17649.86282,19.9768123099,0.359852674845,6518.45934692,,,,,,,,,,,,,,,,
7,28,30,0,15182.7499,379.52791,15173.03936,0.0,1,S,Power,OTHER POWER,O/S AIX,AIX ENT ED,5773a,5773-AEZa,0.9993604228440857,0.0,0.02499731026986093,4.181350438109954,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.140652818991,0.278333333333,0.638709677419,4225.86538883,167708.57888383992,5.2245552788649885,0.0251976697731,79,0.0249973102699,0.146278931751,0.270575842355,0.664258064516,2220.91643641,4108.08534346,10085.2640626,0.20776536161,3154.44952321,0.745728437176,2774.92161321,2069.33795791,2612.86121258,3793.7422831,6853.70471356,0.999360422844,15173.03936,0.0174025410507,14793.51145,257.444690293,0.298869837445,4537.66599458,,,,,,,,,,,,,,,,
8,8,30,0,18114.24453,452.85611,18102.71893,0.0,1,S,Power,OTHER POWER,O/S AIX,AIX/LINUX,5765a,5765-CD3a,0.9993637272600073,0.0,0.02499999982058319,4.258020226126894,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.0717021276596,0.320610687023,0.640243902439,5807.62038367,167708.57888383992,5.2245552788649885,0.0346292385417,83,0.0249999998206,0.074570212766,0.342972941197,0.665853658537,1350.7830687,6212.69572401,12061.4359919,0.296493673818,5370.75890913,0.604370418214,4917.90279913,2972.23497145,4350.38156508,6449.81794917,8899.31684157,0.99936372726,18102.71893,0.0011318395227,17649.86282,19.9768123099,0.359852674845,6518.45934692,,,,,,,,,,,,,,,,
9,22,30,0,274383.25013,64240.7139,274051.99133,0.0,1,H,Power,HPC,HPC,CLOUD OPENSTACK PLATFORM FOR POWER REG 3Y,9080a,9080-MHEa,0.9987927149348838,0.0,0.23412768042350765,5.438357596108537,GB,B,2018,6,1,0,EPRICER,5138471-GB,CHW_GB,2,866-271179,B,0,EMEA,0.0584210526316,0.159308510638,0.352678571429,43711.5869222,167708.57888383992,5.2245552788649885,0.260640136677,5,0.234127680424,0.0607578947369,0.185535190775,0.366785714286,16670.948629,50907.7486583,100639.856387,0.305830023747,83914.635903,0.122229870659,19673.922003,2404.74094179,78548.9741136,90352.0180741,73752.2116921,0.998792714935,274051.99133,3.55240165892e-06,209811.27743,0.745333930003,0.190643838878,52309.4761286,,,,,,,,,,,,,,,,
